"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"New London County, CT","09011","2019 Week 42 ending October 19, 2019","2019/42",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 43 ending October 26, 2019","2019/43",40,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 44 ending November 02, 2019","2019/44",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 45 ending November 09, 2019","2019/45",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 46 ending November 16, 2019","2019/46",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 47 ending November 23, 2019","2019/47",58,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 48 ending November 30, 2019","2019/48",64,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 49 ending December 07, 2019","2019/49",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 50 ending December 14, 2019","2019/50",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 51 ending December 21, 2019","2019/51",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2019 Week 52 ending December 28, 2019","2019/52",51,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 01 ending January 04, 2020","2020/01",56,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 02 ending January 11, 2020","2020/02",61,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 03 ending January 18, 2020","2020/03",58,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 04 ending January 25, 2020","2020/04",50,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 05 ending February 01, 2020","2020/05",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 06 ending February 08, 2020","2020/06",56,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 07 ending February 15, 2020","2020/07",40,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 08 ending February 22, 2020","2020/08",55,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 09 ending February 29, 2020","2020/09",40,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 10 ending March 07, 2020","2020/10",45,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 11 ending March 14, 2020","2020/11",43,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 12 ending March 21, 2020","2020/12",38,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 13 ending March 28, 2020","2020/13",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 14 ending April 04, 2020","2020/14",45,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 15 ending April 11, 2020","2020/15",63,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 16 ending April 18, 2020","2020/16",63,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 17 ending April 25, 2020","2020/17",65,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 18 ending May 02, 2020","2020/18",69,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 19 ending May 09, 2020","2020/19",61,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 20 ending May 16, 2020","2020/20",63,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 21 ending May 23, 2020","2020/21",60,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 22 ending May 30, 2020","2020/22",63,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 23 ending June 06, 2020","2020/23",43,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 24 ending June 13, 2020","2020/24",58,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 25 ending June 20, 2020","2020/25",44,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 26 ending June 27, 2020","2020/26",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 27 ending July 04, 2020","2020/27",50,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 28 ending July 11, 2020","2020/28",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 29 ending July 18, 2020","2020/29",41,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 30 ending July 25, 2020","2020/30",51,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 31 ending August 01, 2020","2020/31",40,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 32 ending August 08, 2020","2020/32",40,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 33 ending August 15, 2020","2020/33",42,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 34 ending August 22, 2020","2020/34",39,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 35 ending August 29, 2020","2020/35",49,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 36 ending September 05, 2020","2020/36",55,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 37 ending September 12, 2020","2020/37",45,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 38 ending September 19, 2020","2020/38",50,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 39 ending September 26, 2020","2020/39",44,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 40 ending October 03, 2020","2020/40",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 41 ending October 10, 2020","2020/41",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 42 ending October 17, 2020","2020/42",60,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 43 ending October 24, 2020","2020/43",50,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 44 ending October 31, 2020","2020/44",60,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 45 ending November 07, 2020","2020/45",64,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 46 ending November 14, 2020","2020/46",41,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 47 ending November 21, 2020","2020/47",55,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 48 ending November 28, 2020","2020/48",55,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 49 ending December 05, 2020","2020/49",60,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 50 ending December 12, 2020","2020/50",65,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 51 ending December 19, 2020","2020/51",67,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 52 ending December 26, 2020","2020/52",82,Not Applicable,Not Applicable
,"New London County, CT","09011","2020 Week 53 ending January 02, 2021","2020/53",94,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 01 ending January 09, 2021","2021/01",79,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 02 ending January 16, 2021","2021/02",80,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 03 ending January 23, 2021","2021/03",81,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 04 ending January 30, 2021","2021/04",89,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 05 ending February 06, 2021","2021/05",67,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 06 ending February 13, 2021","2021/06",63,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 07 ending February 20, 2021","2021/07",65,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 08 ending February 27, 2021","2021/08",51,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 09 ending March 06, 2021","2021/09",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 10 ending March 13, 2021","2021/10",56,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 11 ending March 20, 2021","2021/11",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 12 ending March 27, 2021","2021/12",50,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 13 ending April 03, 2021","2021/13",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 14 ending April 10, 2021","2021/14",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 15 ending April 17, 2021","2021/15",60,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 16 ending April 24, 2021","2021/16",58,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 17 ending May 01, 2021","2021/17",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 18 ending May 08, 2021","2021/18",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 19 ending May 15, 2021","2021/19",63,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 20 ending May 22, 2021","2021/20",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 21 ending May 29, 2021","2021/21",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 22 ending June 05, 2021","2021/22",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 23 ending June 12, 2021","2021/23",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 24 ending June 19, 2021","2021/24",51,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 25 ending June 26, 2021","2021/25",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 26 ending July 03, 2021","2021/26",52,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 27 ending July 10, 2021","2021/27",55,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 28 ending July 17, 2021","2021/28",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 29 ending July 24, 2021","2021/29",45,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 30 ending July 31, 2021","2021/30",41,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 31 ending August 07, 2021","2021/31",54,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 32 ending August 14, 2021","2021/32",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 33 ending August 21, 2021","2021/33",56,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 34 ending August 28, 2021","2021/34",46,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 35 ending September 04, 2021","2021/35",53,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 36 ending September 11, 2021","2021/36",62,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 37 ending September 18, 2021","2021/37",55,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 38 ending September 25, 2021","2021/38",65,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 39 ending October 02, 2021","2021/39",42,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 40 ending October 09, 2021","2021/40",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 41 ending October 16, 2021","2021/41",60,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 42 ending October 23, 2021","2021/42",58,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 43 ending October 30, 2021","2021/43",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 44 ending November 06, 2021","2021/44",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 45 ending November 13, 2021","2021/45",43,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 46 ending November 20, 2021","2021/46",55,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 47 ending November 27, 2021","2021/47",70,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 48 ending December 04, 2021","2021/48",68,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 49 ending December 11, 2021","2021/49",72,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 50 ending December 18, 2021","2021/50",57,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 51 ending December 25, 2021","2021/51",69,Not Applicable,Not Applicable
,"New London County, CT","09011","2021 Week 52 ending January 01, 2022","2021/52",48,Not Applicable,Not Applicable
,"New London County, CT","09011","2022 Week 01 ending January 08, 2022 (provisional)","2022/01",70,Not Applicable,Not Applicable
,"New London County, CT","09011","2022 Week 02 ending January 15, 2022 (provisional)","2022/02",53,Not Applicable,Not Applicable
,"New London County, CT","09011","2022 Week 03 ending January 22, 2022 (provisional)","2022/03",90,Not Applicable,Not Applicable
,"New London County, CT","09011","2022 Week 04 ending January 29, 2022 (provisional)","2022/04",76,Not Applicable,Not Applicable
,"New London County, CT","09011","2022 Week 05 ending February 05, 2022 (provisional)","2022/05",79,Not Applicable,Not Applicable
,"New London County, CT","09011","2022 Week 06 ending February 12, 2022 (provisional)","2022/06",71,Not Applicable,Not Applicable
,"New London County, CT","09011","2022 Week 07 ending February 19, 2022 (provisional)","2022/07",64,Not Applicable,Not Applicable
